Month Year,UnemploymentRate
Jan 2000,8.1
Feb 2000,8.3
Mar 2000,8.8
Apr 2000,9.0
May 2000,9.4
Jun 2000,6.1
Jul 2000,7.5
Aug 2000,6.6
Sep 2000,4.9
Oct 2000,8.6
Nov 2000,7.2
Dec 2000,5.5
Jan 2001,9.1
Feb 2001,9.1
Mar 2001,9.5
Apr 2001,8.8
May 2001,9.3
Jun 2001,8.1
Jul 2001,10.4
Aug 2001,5.8
Sep 2001,7.9
Oct 2001,9.3
Nov 2001,9.3
Dec 2001,9.6
Jan 2002,10.4
Feb 2002,11.4
Mar 2002,11.6
Apr 2002,10.0
May 2002,8.8
Jun 2002,8.7
Jul 2002,10.3
Aug 2002,9.3
Sep 2002,8.9
Oct 2002,9.9
Nov 2002,13.3
Dec 2002,10.3
Jan 2003,10.0
Feb 2003,14.2
Mar 2003,13.1
Apr 2003,10.8
May 2003,11.8
Jun 2003,9.7
Jul 2003,8.8
Aug 2003,7.9
Sep 2003,8.4
Oct 2003,9.5
Nov 2003,12.7
Dec 2003,8.2
Jan 2004,10.9
Feb 2004,12.2
Mar 2004,11.7
Apr 2004,9.6
May 2004,10.4
Jun 2004,8.2
Jul 2004,8.2
Aug 2004,9.3
Sep 2004,7.8
Oct 2004,8.0
Nov 2004,9.2
Dec 2004,10.2
Jan 2005,13.5
Feb 2005,11.3
Mar 2005,11.1
Apr 2005,10.6
May 2005,10.0
Jun 2005,8.3
Jul 2005,8.8
Aug 2005,9.0
Sep 2005,7.0
Oct 2005,7.6
Nov 2005,6.8
Dec 2005,8.0
Jan 2006,9.2
Feb 2006,9.1
Mar 2006,7.0
Apr 2006,7.5
May 2006,7.6
Jun 2006,8.3
Jul 2006,8.9
Aug 2006,7.7
Sep 2006,7.2
Oct 2006,7.0
Nov 2006,9.0
Dec 2006,6.5
Jan 2007,9.9
Feb 2007,10.9
Mar 2007,9.4
Apr 2007,5.8
May 2007,6.2
Jun 2007,7.2
Jul 2007,9.9
Aug 2007,9.9
Sep 2007,6.9
Oct 2007,7.7
Nov 2007,6.4
Dec 2007,7.8
Jan 2008,7.4
Feb 2008,10.6
Mar 2008,9.2
Apr 2008,10.4
May 2008,8.6
Jun 2008,11.3
Jul 2008,13.3
Aug 2008,12.3
Sep 2008,9.7
Oct 2008,8.0
Nov 2008,7.9
Dec 2008,10.3
Jan 2009,12.3
Feb 2009,13.1
Mar 2009,9.8
